2020-04-29	20:00:00	500ETF(510500.XSHG)	买	市价单	15800股	5.695	89,981.00	0.00	26.99
 	 	 	 	 	 	 	 	 	 
2020-05-25	20:00:00	500ETF(510500.XSHG)	卖	市价单	-15800股	5.788	-91,450.40	1,469.40	27.44
 	 	 	 	 	 	 	 	 	 
2020-05-27	20:00:00	500ETF(510500.XSHG)	买	市价单	15600股	5.834	91,010.40	0.00	27.30
 	 	 	 	 	 	 	 	 	 
2020-05-29	20:00:00	500ETF(510500.XSHG)	卖	市价单	-15600股	5.894	-91,946.40	936.00	27.58
 	 	 	 	 	 	 	 	 	 
2020-06-01	20:00:00	500ETF(510500.XSHG)	买	市价单	15100股	6.087	91,913.70	0.00	27.57
 	 	 	 	 	 	 	 	 	 
2020-10-26	20:00:00	500ETF(510500.XSHG)	卖	市价单	-15100股	6.806	-102,770.60	10,856.90	30.83
 	 	 	 	 	 	 	 	 	 
2020-10-28	20:00:00	500ETF(510500.XSHG)	买	市价单	14900股	6.826	101,707.40	0.00	30.51
 	 	 	 	 	 	 	 	 	 
2020-11-12	20:00:00	500ETF(510500.XSHG)	卖	市价单	-14900股	6.929	-103,242.10	1,534.70	30.97
 	 	 	 	 	 	 	 	 	 
2020-11-13	20:00:00	500ETF(510500.XSHG)	买	市价单	14900股	6.981	104,016.90	0.00	31.21
 	 	 	 	 	 	 	 	 	 
2020-11-26	20:00:00	500ETF(510500.XSHG)	卖	市价单	-14900股	6.993	-104,195.70	178.80	31.26
 	 	 	 	 	 	 	 	 	 
2020-11-30	20:00:00	500ETF(510500.XSHG)	买	市价单	14900股	6.976	103,942.40	0.00	31.18
 	 	 	 	 	 	 	 	 	 
2020-12-08	20:00:00	500ETF(510500.XSHG)	卖	市价单	-14900股	7.081	-105,506.90	1,564.50	31.65
 	 	 	 	 	 	 	 	 	 
2020-12-10	20:00:00	500ETF(510500.XSHG)	买	市价单	15100股	6.998	105,669.80	0.00	31.70
 	 	 	 	 	 	 	 	 	 
2021-02-01	20:00:00	500ETF(510500.XSHG)	卖	市价单	-15100股	7.066	-106,696.60	1,026.80	32.01
