"      时间	    开盘	    最高	    最低	    收盘	         成交量	VOL-TDX.VVOL  	VOL-TDX.      	VOL-TDX.VOLUME	VOL-TDX.MAVOL1	VOL-TDX.MAVOL2	 MACD.DIF   	 MACD.DEA   	 MACD.MACD  	   MA.MA1   	   MA.MA2   	   MA.MA3   	   MA.MA4   	   MA.MA5   	   MA.MA6   	   MA.MA7   	   MA.MA8   	"

" 2019/01/09	   4.600	   4.670	   4.580	   4.583	      376330176	           	       0.00	 3763301.75	 2366140.75	 2095656.38	     -0.038	     -0.050	      0.024	3065.230	3117.960	3062.850	3078.480	      107364350	           	           	           	           	           	           	           	           	"
" 2019/01/10	   4.581	   4.632	   4.575	   4.591	      172069408	           	       0.00	 1720694.13	 2342450.50	 2007267.75	     -0.031	     -0.046	      0.030	3077.480	3092.540	3062.570	3072.690	       85271756	           	           	           	           	           	           	           	           	"
" 2019/01/11	   4.590	   4.629	   4.562	   4.615	      176402480	           	       0.00	 1764024.75	 2186103.25	 2048637.38	     -0.024	     -0.042	      0.036	3082.260	3102.830	3071.030	3094.780	       71786424	           	           	           	           	           	           	           	           	"
" 2019/01/14	   4.616	   4.631	   4.578	   4.591	      105994392	           	       0.00	 1059943.88	 1919437.00	 1993808.63	     -0.019	     -0.037	      0.036	3092.500	3097.410	3064.380	3067.780	       66121702	           	           	           	           	           	           	           	           	"
" 2019/01/15	   4.590	   4.666	   4.570	   4.655	      233933248	           	       0.00	 2339332.50	 2129459.50	 2038393.25	     -0.010	     -0.032	      0.043	3071.520	3129.370	3064.670	3127.990	       88772962	           	           	           	           	           	           	           	           	"
" 2019/01/16	   4.655	   4.680	   4.631	   4.647	      157690816	           	       0.00	 1576908.13	 1692180.63	 2029160.63	     -0.004	     -0.026	      0.044	3126.130	3135.010	3117.290	3128.650	       80214341	           	           	           	           	           	           	           	           	"
" 2019/01/17	   4.649	   4.660	   4.604	   4.610	      149442064	           	       0.00	 1494420.63	 1646926.00	 1994688.25	     -0.002	     -0.021	      0.039	3132.630	3141.710	3110.060	3111.420	       80174871	           	           	           	           	           	           	           	           	"
" 2019/01/18	   4.615	   4.668	   4.596	   4.659	      223273920	           	       0.00	 2232739.25	 1740668.75	 1963386.00	      0.004	     -0.016	      0.040	3124.500	3171.690	3120.350	3168.170	      103963834	           	           	           	           	           	           	           	           	"
" 2019/01/21	   4.666	   4.713	   4.657	   4.676	      215688992	           	       0.00	 2156890.00	 1960058.00	 1939747.63	      0.009	     -0.011	      0.041	3170.880	3199.210	3170.880	3185.640	       93915022	           	           	           	           	           	           	           	           	"
" 2019/01/22	   4.669	   4.670	   4.586	   4.608	      183242624	           	       0.00	 1832426.25	 1858676.75	 1994068.00	      0.008	     -0.007	      0.031	3181.950	3181.950	3135.340	3143.320	       72990528	           	           	           	           	           	           	           	           	"
" 2019/01/23	   4.595	   4.628	   4.589	   4.613	      118288888	           	       0.00	 1182888.88	 1779873.00	 1736027.00	      0.008	     -0.004	      0.024	3136.100	3157.630	3131.870	3141.050	       59870478	           	           	           	           	           	           	           	           	"
" 2019/01/24	   4.614	   4.680	   4.588	   4.645	      187058736	           	       0.00	 1870587.38	 1855106.38	 1751016.25	      0.010	     -0.002	      0.022	3146.600	3165.630	3125.300	3158.780	       72934636	           	           	           	           	           	           	           	           	"
" 2019/01/25	   4.642	   4.674	   4.619	   4.622	      159482896	           	       0.00	 1594829.00	 1727524.38	 1734096.63	      0.009	      0.001	      0.017	3165.180	3203.170	3164.410	3184.470	       83967729	           	           	           	           	           	           	           	           	"
" 2019/01/28	   4.650	   4.687	   4.596	   4.606	      203399152	           	       0.00	 2033991.50	 1702944.63	 1831501.38	      0.008	      0.002	      0.011	3203.120	3228.870	3174.720	3183.780	       82622431	           	           	           	           	           	           	           	           	"
" 2019/01/29	   4.599	   4.599	   4.481	   4.545	      278111648	           	       0.00	 2781116.50	 1892682.63	 1875679.63	      0.001	      0.002	     -0.001	3177.260	3200.990	3148.230	3193.970	       77658334	           	           	           	           	           	           	           	           	"
" 2019/01/30	   4.522	   4.572	   4.511	   4.512	      181134944	           	       0.00	 1811349.50	 2018374.75	 1899123.75	     -0.006	      0.000	     -0.013	3181.660	3202.900	3167.890	3168.480	       63746517	           	           	           	           	           	           	           	           	"
